case_no,complaint_id,official_product,my_product,official_issue,my_issue,product_match,issue_match,notes,narrative
70,16486077,Debt collection,Credit reporting or other personal consumer reports,False statements or representation,Problem with a company's investigation into an existing problem,False,False,,"I am disputing the accuracy of the collection account being reported by XXXX/Resurgent Receivables, LLC ( original creditor : XXXX XXXX XXXX Account No. XXXX ). The account reflects a {$1500.00} balance and is marked as an active collection / past due as of XX/XX/year>. No documentation or validation has been provided to confirm ownership or accuracy of this debt under the Fair Debt Collection Pra"
71,13260479,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Florida, XXXX XX/XX/XXXX Consumer Financial Protection Bureau ( CFPB ) XXXX XXXX XXXX XXXX XXXX, IA XXXX Subject : Request for Description of Investigation Process - Disputed Accounts on My Credit Report Dear CFPB Representative, I am writing to formally dispute an inaccurate late payment entry on my credit report, as allowed under the Fair Credit Reporting Act "
72,12920019,Debt collection,Credit reporting or other personal consumer reports,Attempts to collect debt not owed,Incorrect information on your report,False,False,Complaint argues inaccurate reporting of charged-off accounts/income reporting.,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. It is important to clarify that this request is not due to any error or n"
74,9167946,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Improper use of your report,Incorrect information on your report,True,False,"Identity theft is mentioned, but the requested remedy is deletion of fraudulent tradelines.",I've recently received a copy of my credit reports and noticed several inaccuracies and late payments on my reports. This negative remark has been detrimental to my life and overall credit health.
75,9819802,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,True,False,Complaint explicitly alleges reporting without written consent/permissible purpose under FCRA §1681b.,I am writing to delete the following information in my file. The items I need deleted are listed in the report.I am a victim of identity theft and did not make the charge. I ask that the items be deleted to correct my credit report. I reported the theft of my identity to the Federal Trade Commission and I also have enclosed copies of the Federal Trade Commissions Identity Theft Affidavit. Please d
76,13266601,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Incorrect information on your report,Problem with a company's investigation into an existing problem,True,False,Consumer emphasizes bureaus' failure to respond to dispute letters.,"The Fair Credit Reporting Act ( 15 U.S. Code 1681 ) says ( 1 ) The banking system is dependent upon fair and accurate credit reporting. Inaccurate credit reports directly impair the efficiency of the banking system, and unfair credit reporting methods undermine the public confidence which is essential to the continued functioning of the banking system. So whenever there is a violation under the FC"
77,8356278,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,,"I have a goal of getting a house as soon as possible but the stuff on my credit report will really put me in trouble. Ive been trying to understand some instances why the credit bureaus may take some time to respond but this is so unprofessional. My name is XXXX XXXX and I am filing this complaint for falsely reporting misleading information. Please take note, it is me personally who is filling th"
78,11907839,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,,"XX/XX/XXXX Subject : Fourth Round Complaint Regarding Inaccurate Late Payment Reporting on XXXXXXXX XXXX XXXXXXXX Account Dear CFPB, I am filing a formal complaint against Equifax, XXXX, and XXXX for their failure to correct inaccurate information regarding late payments reported on my credit report for the following account : Account Details : Account Name : XXXX XXXX XXXXXXXX Account Number : XX"
82,7501903,Credit reporting or other personal consumer reports,Debt collection,Incorrect information on your report,Written notification about debt,False,False,Consumer's primary complaint is failure to properly validate the debt after requesting verification.,"NOTICE AND DEMAND FOR CEASE AND DESIST FOR ACCOUNT # XXXX To Whom It May Concern : I have asked you to validate the alleged debt that you claim that I owe, and all you have provided me are statements and signatures to an account that you can not prove is mine. You have violated my consumer rights under the Fair Debt Collection Practices Act ( FDCPA ) 15USC 1692 ( g ) - Failure to validate this all"
87,11886886,Credit card,Credit reporting or other personal consumer reports,Incorrect information on your report,Improper use of your report,False,False,Complaint focuses on FCRA privacy rights and unauthorized reporting.,"When I made the decision to use my rights under FCRA, it was with an eye on challenging any information found in credit reports that are not accurate.By fighting back against this injustice, I am ensuring that the information on my credit report is accurate and reliable.I have every right to challenge any inaccuracies in a manner compliant with federal law when they are negatively affecting me fin"
91,16375835,Credit reporting or other personal consumer reports,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,Incorrect information on your report,True,False,,"According to U.S.C. 1681 is the primary section of theFair Credit Reporting Act ( FCRA ), a federal law establishingCongressional findings and the statement of purposefor the subchapter concerning consumer reporting agencies.It requires these agencies to adopt fair and equitable procedures for collecting, evaluating, and using consumer information to ensure confidentiality, accuracy, and relevancy"
93,8086161,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",Unauthorized transactions or other transaction problem,Fraud or scam,True,False,Account compromise and unauthorized PayPal transactions are the core issue.,I contacted PayPal on XX/XX/ around XXXX to let them know that my account had been compromised and used while I on there for {$1500.00} I also told them to close my account to prevent further usage of it. They did not do that. They told me they would resolve the issue in 10 days. Its been past 10 days and still nothing. I called and spoke with a lady named XXXX and she told that the case has been 
95,8370500,Credit reporting or other personal consumer reports,Credit card,Problem with a company's investigation into an existing problem,Problem with a company's investigation into an existing problem,False,True,Billing-error dispute focuses on the card issuer's handling of the investigation.,Recently I checked my credit report and noticed multiple billing errors under 15 U.S. Code 1666 ( b ) billing error ( 4 ) The creditors failure to reflect properly on a statement a payment made by the obligor or a credit issued to the obligor. ( 5 ) A computation error or similar error of the accounting nature of the creditor on a statement. As I know the creditor didn't notify me 21 days before w
96,12330487,Credit reporting or other personal consumer reports,Debt collection,Incorrect information on your report,Attempts to collect debt not owed,False,False,Consumer argues the collector has failed to prove the debt exists.,"I have not supplied proof under the doctrine of estoppel by silence, XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX. I pressume that no proof of the alleged debt, nor therefore any such debt, in fact therefore exist."
98,9157413,Credit card,Student loan,"Other features, terms, or problems",Getting a loan,False,False,Complaint concerns denial of requested credit/loan rather than servicing or repayment.,Company is unable to provide the credit due to its own liability. requesting the credit applied company has shown reason of why not offer business credit to a new business. student loans are an private loan not to be applied but XXXX is reporting false and misleading information damaging the business profile with detrimental details. according 12 U.S. Code 1431 - Powers and duties of banks Default
99,7987307,Debt collection,Credit reporting or other personal consumer reports,Attempts to collect debt not owed,Incorrect information on your report,False,False,Identity theft is the reason for the derogatory collection account appearing on the report.,"I was looking at my credit score and noticed it had a derogatory remark from XX/XX/XXXX in the amount of {$17000.00} from Rent Recovery Solutions XXXX XXXX XXXX XXXX. I discovered it on XX/XX/XXXX and notified all 3 credit bureaus that this was identity theft and I did not have any outstanding rents, nor did I take out any type of lease or rent any property. I have owned my own home in XXXX, AL fo"
