relabel_no,complaint_id,date_received,narrative,my_product,my_issue,confidence,notes
11,8984279,11-05-2024,"In account with the Fair Credit Reporting Act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. Account name : XXXX XXXX XXXX # XXXX, Account name : XXXX XXXX # XXXX, Account name : XXXX XXXX XXXX # XXXX, Account name : XXXX. XXXX XXXXXXXX # XXXX, Account name : XXXX XXXX XXXX # XXXX, Account name : XXXX XXXX XXXX # XXXX has violated my rights. I looked at my TransUnion credit report on XX/XX/2024 and noticed some things are incomplete and not accurate. And according to the fair credit reporting act Whenever a consumer reporting agency prepares a consumer report it shall follow reasonable procedures to assure maximum possible accuracy of the information concerning the individual about whom the report relates according to 15 USC 1681 ( e ) ( b ). And according to 15 USC 1681 5 they are suppose to do this ( 5 ) Treatment of inaccurate or unverifiable information ( A ) In general, after any reinvestigation under paragraph ( XXXX ) of any information disputed by a consumer, an item of the information is found to be inaccurate or incomplete or can not be verified, the consumer reporting agency shall ( i ) promptly delete that item of information from the file of the consumer, or modify that item of information, as appropriate, based on the results of the reinvestigation; and ( ii ) promptly notify the furnisher of that information that the information has been modified or deleted from the file of the consumer. and according to 15 USC 1681s-2 they are suppose to not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Credit reporting or other personal consumer reports,Incorrect information on your report,2,"Privacy language present, but complaint is inaccurate reporting."
12,16486077,09-10-2025,"I am disputing the accuracy of the collection account being reported by XXXX/Resurgent Receivables, LLC ( original creditor : XXXX XXXX XXXX Account No. XXXX ). The account reflects a {$1500.00} balance and is marked as an active collection / past due as of XX/XX/year>. No documentation or validation has been provided to confirm ownership or accuracy of this debt under the Fair Debt Collection Practices Act ( FDCPA 809 ). Additionally, under the Fair Credit Reporting Act ( FCRA 623 ), furnishers are required to report complete and accurate information.",Debt collection,Attempts to collect debt not owed,2,Collection account lacks validation.
13,12007845,09-02-2025,This company is violating my consumer rights! Not properly licensed to collect.,Debt collection,False statements or representation,3,Not properly licensed to collect.
14,10434036,12-10-2024,"RE : Trafficking Block Request To Whom It May Concern, I am a victim of XXXX The information listed below, which appears on my credit report, is the result of that trafficking. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX {$1300.00} Please block this information from my credit report within four business days, pursuant to Section 605C of the Fair Credit Reporting Act.",Credit reporting or other personal consumer reports,Incorrect information on your report,3,Trafficking block request.
15,11867635,01-02-2025,"I am filing a complaint against Equifax for failing to properly investigate my disputes regarding inaccuracies in my credit report. Despite my submissions, Equifax consistently responds failing to properly investigate my disputes regarding inaccuracies in my credit report. Despite my submissions, Equifax consistently responds within 24 hours stating the account is accurate, without providing any evidence of a thorough investigation. This practice violates the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681i, which mandates a reasonable investigation of disputes. Furthermore, Equifax 's actions may also contravene the Consumer Financial Protection Act ( CFPA ), 12 U.S.C. 5536 ( a ) ( 1 ) ( A ) - ( B ), as highlighted in the CFPB 's recent administrative proceeding ( File No. 2025-CFPB-0002 ) against them for similar violations. I request that the CFPB take action to ensure Equifax complies with federal law and provides consumers with the necessary proof of investigation.",Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,3,Failure to properly investigate repeated disputes.
16,15305621,15-08-2025,"I recently gained access to my credit report and seen some inaccurate items and information. These errors have caused me great financial distress and im demanding proof of documentation showing permission consent with signature. Please help me in removing deleting these fraudulent accounts off of my report : XXXX/DOFED XXXX - Date Opened : XX/XX/XXXX - {$7600.00}, XXXX/DOFED - XXXX - Date Opened : XX/XX/XXXX - {$5900.00}, XXXX/DOFED XXXX - Date Opened : XX/XX/XXXX - {$7500.00}, XXXX/DOFED XXXX - Date Opened : XX/XX/XXXX - {$5800.00}, XXXX/DOFED XXXX - Date Opened : XX/XX/XXXX - {$3600.00}, XXXX/DOFED XXXX - Date Opened : XX/XX/XXXX - {$2800.00}, XXXX/DOFED - XXXX - Date Opened : XX/XX/XXXX - {$7700.00}, XXXX/DOFED - XXXX - Date Opened : XX/XX/XXXX - {$5900.00} ; fraudulent inquiries off of my report : CXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX The Fair Credit Reporting Act ( 15 U.S. Code 1681 ) says ( 1 ) The banking system is dependent upon fair and accurate credit reporting. Inaccurate credit reports directly impair the efficiency of the banking system, and unfair credit reporting methods undermine the public confidence which is essential to the continued functioning of the banking system. So whenever there is a violation under the FCRA, it impairs the efficiency of the banking system. This is a violation of my privacy with my consumer report, since I control what is listed and what is not. In the event that any accounts are reported without my written consent, that is considered identity theft. This is a violation of both 15 U.S. Code 1681b ( 2 ) and 15 U.S. Code 1681c-2. This leads way to civil liability against the credit reporting agency for negligent and willful noncompliance under 15 U.S. Code 1681n, which allows for {$1000.00} per violation, for account listed without my expressed written consent.",Credit reporting or other personal consumer reports,Incorrect information on your report,2,Mix of fraudulent accounts and consent arguments.
17,7847537,14-11-2023,"I just looked over a copy of my credit report. It said that the credit inquiries mentioned below were the source of the credit inquiry. But I did not authorize these investigations. As these queries are negatively impacting my ability to obtain credit and apply for loans, kindly have them erased from my credit report. Additionally, send me any supporting documents you may have for this request. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Credit reporting or other personal consumer reports,Improper use of your report,3,Unauthorized inquiries.
18,14330956,27-06-2025,"I have encountered difficulties accessing my Experian Credit Bureau account and was instructed to send identification documents for verification. Despite providing clear and legible documentation, I am still unable to access my account. This is why I escalated the matter through the CFPB.",Credit reporting or other personal consumer reports,Unable to get your credit report or credit score,3,Unable to access Experian account.
19,8086161,31-12-2023,I contacted PayPal on XX/XX/ around XXXX to let them know that my account had been compromised and used while I on there for {$1500.00} I also told them to close my account to prevent further usage of it. They did not do that. They told me they would resolve the issue in 10 days. Its been past 10 days and still nothing. I called and spoke with a lady named XXXX and she told that the case has been resolved and that money would be refunded back to my PayPal balance the next day. However it was not and I called back and could not get an answer from anyone. I spoke with XXXX ( a representative ) and he told me I should have had my money as well if it past the 10 day investigation period.,"Money transfer, virtual currency, or money service",Problem with customer service,2,Account compromise plus poor handling after report.
20,9819802,17-08-2024,I am writing to delete the following information in my file. The items I need deleted are listed in the report.I am a victim of identity theft and did not make the charge. I ask that the items be deleted to correct my credit report. I reported the theft of my identity to the Federal Trade Commission and I also have enclosed copies of the Federal Trade Commissions Identity Theft Affidavit. Please delete the items as soon as possible.,Credit reporting or other personal consumer reports,Incorrect information on your report,2,Identity theft; wants fraudulent tradelines removed.
21,11525923,14-01-2025,"I am writing to formally request the removal of an unauthorized hard inquiry from my credit report. After carefully reviewing my credit report, I noticed a hard inquiry that I did not authorize. I am concerned that this inquiry XXXX have been made in error or as a result of potential fraudulent activity. As per the Fair Credit Reporting Act ( FCRA ), I am entitled to dispute inaccurate or unauthorized information on my credit report. Since I did not initiate this credit inquiry, it should be removed from my report immediately.",Credit reporting or other personal consumer reports,Improper use of your report,3,Unauthorized hard inquiry.
22,11300289,27-12-2024,"I AM SUBMITTING THIS WITHOUT ANY INFLUENCE AND THIS IS NOT A THIRD PARTY. THE CREDIT BUREAUS STATED MY ACC WAS PROPERLY INVESTIGATED BUT HOW IS THAT POSSIBLE IF THE OPEN DATE IS INACCURATE, THE DATE LAST ACTIVE IS INACCURATE, AND THE DATE LAST REPORTED IS NOT ACCURATE? THIS GROUND FOR REMOVAL, THEY ALSO VIOLATED MY RIGHTS UNDER 15 U.S.C 1681 SECTION 602 A. STATES I HAVE THE RIGHT TO PRIVACY. 15 U.S.C 1681 SECTION 604 SECTION 2. IT ALSO STATES A CONSUMER REPORTING AGENCY CAN NOT FURNISH AN ACCOUNT WITHOUT MY WRITTEN INSTRUCTIONS. PLEASE SEE ATTACHED LETTERS.",Credit reporting or other personal consumer reports,Incorrect information on your report,2,"Investigation mentioned, but inaccuracies are the core grievance."
23,10293042,30-09-2024,"XXXX XXXX XXXX XXXX Ct XXXX XXXX, CA XXXX Email : XXXX Phone : XXXX XXXX XXXX XXXX XXXX XXXX, PA XXXX Equifax XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX : Reporting UCC Financing Statement on Debtors Credit Report File No. XXXX Dear XXXX, Equifax, and XXXX, I am writing to report a loan transaction involving XXXX XXXX, which was formalized on XX/XX/XXXX, and filed with the California XXXX of XXXX under XXXX Financing Statement File No. XXXX. I request that this information be included in the credit report of the debtor, XXXX XXXX, for accurate reflection of his obligations. Loan Amount and Terms : On XX/XX/XXXX, I provided a loan of {$10000.00} to XXXX XXXX. The borrower is to make XXXX monthly payments of {$3300.00} each, with the first payment due on XX/XX/XXXX, the second on XX/XX/XXXX, and the third and final payment on XX/XX/XXXX. Collateral : This loan is secured by the following collateral, as specified in the XXXX XXXX ( Account XXXX : XXXX ) : XXXXXXXX XXXX XXXX XXXXXXXX XXXX XXXX, Serial Number : XXXX XXXX. XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Serial Number : XXXX XXXX. XXXX XXXX XXXX, XXXX : XXXX, License Plate : XXXX Collateral Release : Upon full and timely payment of the loan by XXXX XXXX, the collateral will be released to him as agreed. I kindly request that this XXXX filing and loan information be updated in XXXX XXXX 's credit file to ensure the accuracy of his credit obligations. Please let me know if any additional documentation or information is required to process this request. Thank you for your prompt attention to this matter. Sincerely, XXXX XXXX",Credit reporting or other personal consumer reports,Incorrect information on your report,1,Unusual request to add a loan to another person's credit report; closest fit is reporting accuracy.
24,9952522,30-08-2024,I'm really not sure what happened. I have mailed off letters to the credit bureaus continuously and thus far I have not gotten a response. My name is XXXX XXXX and I am filing this complaint for falsely reporting misleading information. There is no third party involved. Please review the uploaded letters.,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,2,Repeated letters with no response.
25,13703831,25-05-2025,"I have requested verification of this dismissed XXXX XXXX XXXX that is appearing on my credit report. The date of filing is wrong, it was XXXX of 2018, and the account numbers are not accurate. I have received no response to my request that they verify and correct the information.",Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,2,Verification request ignored after reporting inaccuracies.
